Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
7.21900000e+000	-5.06656016e+001	-4.67951481e+001	-5.08679515e+003	-1.60991423e+001	-1.96099142e+002	-4.90635202e+001	-6.70100813e+001	-1.08670101e+004	-2.02229273e+001	1.59777073e+002
7.22000000e+000	-5.12241741e+001	-3.23474065e+001	-5.07234741e+003	-1.45113827e+001	-1.94511383e+002	-4.64665383e+001	-6.04284875e+001	-1.08604285e+004	-2.65180339e+001	1.53481966e+002
7.22100000e+000	-4.67790327e+001	-2.21627923e+000	-5.04221628e+003	-1.59530923e+001	-1.95953092e+002	-4.61140616e+001	-6.90683903e+001	-1.08690684e+004	-2.48998900e+001	1.55100110e+002
7.22200000e+000	-5.25482383e+001	-2.51555380e+001	-5.06515554e+003	-1.30542339e+001	-1.93054234e+002	-4.61223484e+001	-6.39351526e+001	-1.08639352e+004	-2.58484697e+001	1.54151530e+002
7.22300000e+000	-5.13583350e+001	-2.55710463e+001	-5.06557105e+003	-1.37768579e+001	-1.93776858e+002	-4.90690593e+001	-3.71992313e+001	-1.08371992e+004	-2.00489143e+001	1.59951086e+002
7.22400000e+000	-5.36660660e+001	-4.48786935e+001	-5.08487869e+003	-1.24838136e+001	-1.92483814e+002	-5.11518879e+001	-2.89754283e+001	-1.08289754e+004	-1.37328883e+001	1.66267112e+002
7.22500000e+000	-5.12490960e+001	-3.57688076e+001	-5.07576881e+003	-1.63180894e+001	-1.96318089e+002	-4.87735826e+001	-5.02460686e+001	-1.08502461e+004	-1.94988173e+001	1.60501183e+002
7.22600000e+000	-5.03019060e+001	-3.05895159e+001	-5.07058952e+003	-1.54803916e+001	-1.95480392e+002	-5.08851087e+001	-4.08856277e+001	-1.08408856e+004	-1.62596597e+001	1.63740340e+002
7.22700000e+000	-5.29015967e+001	-4.97152164e+001	-5.08971522e+003	-1.35212577e+001	-1.93521258e+002	-4.56339794e+001	-4.58300781e+001	-1.08458301e+004	-3.03647161e+001	1.49635284e+002
7.22800000e+000	-5.22786650e+001	-1.47293869e+001	-5.05472939e+003	-1.03354628e+001	-1.90335463e+002	-4.69656478e+001	-5.31667565e+001	-1.08531668e+004	-2.60193172e+001	1.53980683e+002
7.22900000e+000	-5.66568845e+001	-5.01883103e+001	-5.09018831e+003	-8.99991802e+000	-1.88999918e+002	-4.76673695e+001	-4.93931045e+001	-1.08493931e+004	-2.25791725e+001	1.57420828e+002
7.23000000e+000	-4.85950574e+001	-3.95853037e+001	-5.07958530e+003	-2.07335011e+001	-2.00733501e+002	-4.98082223e+001	-3.57133906e+001	-1.08357134e+004	-1.86097179e+001	1.61390282e+002
7.23100000e+000	-4.85504901e+001	-2.29219652e+001	-5.06292197e+003	-2.06644859e+001	-2.00664486e+002	-5.00994813e+001	-2.15125059e+001	-1.08215125e+004	-1.83017024e+001	1.61698298e+002
7.23200000e+000	-5.74959911e+001	-8.21803405e+001	-5.12218034e+003	-7.22362384e+000	-1.87223624e+002	-4.75804683e+001	-5.26361931e+001	-1.08526362e+004	-2.43488987e+001	1.55651101e+002
7.23300000e+000	-4.64933475e+001	-4.63691858e+001	-5.08636919e+003	-2.65291518e+001	-2.06529152e+002	-4.85338236e+001	-3.78016086e+001	-1.08378016e+004	-2.23213005e+001	1.57678700e+002
7.23400000e+000	-5.13338672e+001	8.83197845e+001	-5.13168022e+003	-1.28196058e+001	-1.92819606e+002	-4.87734655e+001	-4.23296737e+001	-1.08423297e+004	-2.31300705e+001	1.56869929e+002
