Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.29000000e-001	-5.38105908e+001	1.35711797e+001	1.35711797e+001	8.93229767e+001	8.93229767e+001	-5.54990817e+001	2.90791397e+001	-3.30920860e+002	-6.23199788e+001	-6.23199788e+001
5.30000000e-001	-8.49815632e+001	1.58475773e+001	1.58475773e+001	-2.14400239e+000	-2.14400239e+000	-6.54161312e+001	5.00233031e+001	-3.09976697e+002	1.16047835e+001	1.16047835e+001
5.31000000e-001	-8.34243510e+001	1.35937472e+001	1.35937472e+001	2.53446254e+000	2.53446254e+000	-6.06941720e+001	-7.95425344e+001	-4.39542534e+002	-4.83906760e+001	-4.83906760e+001
5.32000000e-001	-5.51526834e+001	7.26145858e+001	7.26145858e+001	-4.68741712e+000	-4.68741712e+000	-6.99537717e+001	-8.67567501e+001	-4.46756750e+002	6.37392744e+000	6.37392744e+000
5.33000000e-001	-5.91526605e+001	3.67890806e+001	3.67890806e+001	2.68210893e+001	2.68210893e+001	-5.76208327e+001	-4.76902670e+001	-4.07690267e+002	-6.12835072e+001	-6.12835072e+001
5.34000000e-001	-6.92175479e+001	7.29648097e+001	7.29648097e+001	-9.05212072e+000	-9.05212072e+000	-5.51430191e+001	-1.14393696e+001	-3.71439370e+002	6.22527833e+001	6.22527833e+001
5.35000000e-001	-5.98953556e+001	5.29542083e+000	5.29542083e+000	-4.59550185e+001	-4.59550185e+001	-6.57725047e+001	-1.68905070e+001	-3.76890507e+002	2.62094022e+001	2.62094022e+001
5.36000000e-001	-6.02950337e+001	7.71927249e+001	7.71927249e+001	-7.98090151e+000	-7.98090151e+000	-6.80787283e+001	7.53200931e+001	-2.84679907e+002	1.16687814e+001	1.16687814e+001
5.37000000e-001	-9.42427379e+001	-8.81112019e+001	9.18887981e+001	-3.25495000e-004	-3.25495000e-004	-6.13958578e+001	9.13120859e+000	-3.50868791e+002	-8.47253719e+001	-8.47253719e+001
5.38000000e-001	-6.06914469e+001	-2.76866271e+001	1.52313373e+002	-4.26307096e+001	-4.26307096e+001	-5.97991655e+001	5.62493869e+000	-3.54375061e+002	4.71172965e+001	-1.32882703e+002
5.39000000e-001	-6.38836176e+001	3.92980927e+001	2.19298093e+002	8.24545135e+000	8.24545135e+000	-5.86459459e+001	6.74340174e+001	-2.92565983e+002	2.00990922e+001	-1.59900908e+002
5.40000000e-001	-5.83363825e+001	7.03874007e+001	2.50387401e+002	-1.16970633e+000	-1.16970633e+000	-6.18666837e+001	-2.16638801e+001	-3.81663880e+002	-5.69643604e+001	-2.36964360e+002
5.41000000e-001	-5.91222467e+001	-7.02160740e+001	2.89783926e+002	2.18189902e+001	2.18189902e+001	-6.92790237e+001	-8.46772718e+001	-4.44677272e+002	-6.78974769e+000	-1.86789748e+002
5.42000000e-001	-6.45488399e+001	-7.28420047e+001	2.87157995e+002	3.61889948e+001	3.61889948e+001	-6.47081763e+001	1.57564918e+001	-3.44243508e+002	-4.20998880e+001	-2.22099888e+002
5.43000000e-001	-5.99031646e+001	8.54115916e-001	3.60854116e+002	2.60737217e+001	2.60737217e+001	-6.34674997e+001	8.70631843e+001	-2.72936816e+002	-3.89487588e+000	-1.83894876e+002
5.44000000e-001	-6.43737568e+001	-4.84072728e+001	3.11592727e+002	-1.61438982e+001	-1.61438982e+001	-6.06406388e+001	-1.93355381e+001	-3.79335538e+002	-3.92642260e+001	-2.19264226e+002
5.45000000e-001	-6.24923520e+001	2.90506745e+001	3.89050675e+002	-3.34854825e+001	-3.34854825e+001	-6.05394132e+001	-7.91666454e+001	-4.39166645e+002	2.46068549e+001	-1.55393145e+002
5.46000000e-001	-5.81277648e+001	-2.16578037e+001	3.38342196e+002	6.51809926e+001	6.51809926e+001	-6.69965998e+001	2.00820916e+001	-3.39917908e+002	-1.90158423e+001	-1.99015842e+002
5.47000000e-001	-6.89335962e+001	-6.49103323e+001	2.95089668e+002	-1.87763141e+000	-1.87763141e+000	-7.49777895e+001	-4.58493238e+001	-4.05849324e+002	-7.73767945e+000	-1.87737679e+002
5.48000000e-001	-6.93027716e+001	5.83031990e+001	4.18303199e+002	8.27528382e+000	8.27528382e+000	-6.28601249e+001	5.80116101e+001	-3.01988390e+002	3.13213882e+001	-1.48678612e+002
5.49000000e-001	-6.86233783e+001	5.41360752e+001	4.14136075e+002	2.77328648e+000	2.77328648e+000	-5.88032443e+001	8.62214012e+001	-2.73778599e+002	4.04526851e+000	-1.75954731e+002
5.50000000e-001	-6.11136973e+001	8.61555135e+001	4.46155513e+002	-2.40949964e+001	-2.40949964e+001	-6.18868675e+001	8.17936784e+000	-3.51820632e+002	-3.45737254e+001	-2.14573725e+002
5.51000000e-001	-6.98216479e+001	-7.35607485e-001	3.59264393e+002	2.77425892e+001	2.77425892e+001	-6.23113067e+001	-4.42673393e+001	-4.04267339e+002	3.75457659e+001	-1.42454234e+002
5.52000000e-001	-5.38654362e+001	-7.10560584e+001	2.88943942e+002	-5.08942800e+001	-5.08942800e+001	-6.00435416e+001	4.29432855e+001	-3.17056714e+002	6.07526962e+001	-1.19247304e+002
