Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.131710e+000	-4.263569e+000	-4.263569e+000	-6.076420e+001	7.695138e+001	7.695138e+001	-6.532523e+001	-5.316977e+001	-5.316977e+001	-1.161937e+000	-4.043390e+000	-4.043390e+000	
5.010000e-001	-1.143967e+000	-4.380359e+000	-4.380359e+000	-5.417206e+001	-5.384173e+001	-5.384173e+001	-5.750652e+001	2.003101e+001	2.003101e+001	-1.143386e+000	-4.005590e+000	-4.005590e+000	
5.020000e-001	-1.141813e+000	-4.312120e+000	-4.312120e+000	-6.104053e+001	6.361635e+001	6.361635e+001	-6.018591e+001	1.935614e+001	1.935614e+001	-1.159401e+000	-3.905228e+000	-3.905228e+000	
5.030000e-001	-1.150438e+000	-4.380283e+000	-4.380283e+000	-5.738117e+001	6.821559e+001	6.821559e+001	-5.865546e+001	8.726965e+001	8.726965e+001	-1.154274e+000	-3.944437e+000	-3.944437e+000	
5.040000e-001	-1.151090e+000	-4.387042e+000	-4.387042e+000	-5.922338e+001	-5.081942e+001	-5.081942e+001	-7.090222e+001	8.754146e+001	8.754146e+001	-1.156731e+000	-3.932324e+000	-3.932324e+000	
5.050000e-001	-1.119171e+000	-4.249105e+000	-4.249105e+000	-5.896748e+001	-7.454728e+001	-7.454728e+001	-5.310324e+001	-7.901264e+001	1.009874e+002	-1.162962e+000	-4.004743e+000	-4.004743e+000	
5.060000e-001	-1.128718e+000	-4.389309e+000	-4.389309e+000	-5.561677e+001	-7.518503e+001	-7.518503e+001	-5.685687e+001	-2.954797e+001	1.504520e+002	-1.170250e+000	-3.991028e+000	-3.991028e+000	
5.070000e-001	-1.143193e+000	-4.451040e+000	-4.451040e+000	-6.221920e+001	-3.003549e+001	-3.003549e+001	-6.603790e+001	-1.623443e+001	1.637656e+002	-1.156891e+000	-4.128080e+000	-4.128080e+000	
5.080000e-001	-1.136903e+000	-4.442130e+000	-4.442130e+000	-5.584238e+001	-8.665936e+001	-8.665936e+001	-5.575904e+001	-8.894482e+001	9.105518e+001	-1.140568e+000	-3.964558e+000	-3.964558e+000	
5.090000e-001	-1.137663e+000	-4.401770e+000	-4.401770e+000	-5.336423e+001	6.039175e+001	-1.196083e+002	-5.878374e+001	-7.284545e+001	1.071545e+002	-1.144898e+000	-4.021595e+000	-4.021595e+000	
5.100000e-001	-1.139784e+000	-4.333143e+000	-4.333143e+000	-6.278488e+001	2.159654e+001	-1.584035e+002	-6.760052e+001	-7.381916e+001	1.061808e+002	-1.182251e+000	-4.023311e+000	-4.023311e+000	
5.110000e-001	-1.135003e+000	-4.484690e+000	-4.484690e+000	-5.731870e+001	7.617321e+001	-1.038268e+002	-5.856931e+001	-7.067226e+001	1.093277e+002	-1.167476e+000	-4.076182e+000	-4.076182e+000	
5.120000e-001	-1.136203e+000	-4.414079e+000	-4.414079e+000	-6.692384e+001	6.806327e+001	-1.119367e+002	-6.194185e+001	-9.429676e+000	1.705703e+002	-1.159721e+000	-4.035829e+000	-4.035829e+000	
5.130000e-001	-1.133263e+000	-4.492162e+000	-4.492162e+000	-6.517075e+001	-2.675766e+001	-2.067577e+002	-5.676413e+001	7.719169e+001	2.571917e+002	-1.166320e+000	-4.084933e+000	-4.084933e+000	
5.140000e-001	-1.133316e+000	-4.573312e+000	-4.573312e+000	-4.994329e+001	-8.610861e+001	-2.661086e+002	-5.664283e+001	8.660871e+001	2.666087e+002	-1.155760e+000	-4.123860e+000	-4.123860e+000	
5.150000e-001	-1.134286e+000	-4.551151e+000	-4.551151e+000	-5.917526e+001	6.659482e+001	-2.934052e+002	-5.550515e+001	8.049913e+001	2.604991e+002	-1.166230e+000	-4.107231e+000	-4.107231e+000	
5.160000e-001	-1.132239e+000	-4.555352e+000	-4.555352e+000	-6.186470e+001	2.570017e+000	-3.574300e+002	-6.071054e+001	5.345139e+001	2.334514e+002	-1.160690e+000	-4.077572e+000	-4.077572e+000	
5.170000e-001	-1.137158e+000	-4.439229e+000	-4.439229e+000	-6.251290e+001	-5.197603e+001	-4.119760e+002	-5.812714e+001	5.984446e+001	2.398445e+002	-1.158332e+000	-4.005190e+000	-4.005190e+000	
5.180000e-001	-1.142865e+000	-4.459037e+000	-4.459037e+000	-5.722890e+001	5.409552e+001	-3.059045e+002	-5.949776e+001	8.274683e+001	2.627468e+002	-1.164559e+000	-4.158297e+000	-4.158297e+000	
