Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.146028e+000	-4.439600e+000	-4.439600e+000	-6.201698e+001	-7.507161e+001	-7.507161e+001	-5.653005e+001	-6.311169e+001	-6.311169e+001	-1.163099e+000	-4.089283e+000	-4.089283e+000	
5.010000e-001	-1.159906e+000	-4.436540e+000	-4.436540e+000	-5.924677e+001	3.201128e+001	3.201128e+001	-6.246293e+001	5.208690e+001	5.208690e+001	-1.165164e+000	-4.129971e+000	-4.129971e+000	
5.020000e-001	-1.163721e+000	-4.420064e+000	-4.420064e+000	-5.266482e+001	-8.242286e+001	-8.242286e+001	-5.769870e+001	7.581262e+001	7.581262e+001	-1.152763e+000	-4.005056e+000	-4.005056e+000	
5.030000e-001	-1.156903e+000	-4.420392e+000	-4.420392e+000	-5.897259e+001	-5.474116e+001	-5.474116e+001	-5.781112e+001	-7.877611e+001	1.012239e+002	-1.170549e+000	-3.976370e+000	-3.976370e+000	
5.040000e-001	-1.161809e+000	-4.511058e+000	-4.511058e+000	-5.185397e+001	-8.130570e+001	-8.130570e+001	-7.832719e+001	8.888731e+001	8.888731e+001	-1.165396e+000	-4.064458e+000	-4.064458e+000	
5.050000e-001	-1.157244e+000	-4.404533e+000	-4.404533e+000	-7.445892e+001	1.334234e+001	1.334234e+001	-5.191126e+001	-8.939243e+001	9.060757e+001	-1.164370e+000	-4.021316e+000	-4.021316e+000	
5.060000e-001	-1.153557e+000	-4.437937e+000	-4.437937e+000	-6.928378e+001	-3.799469e+001	-3.799469e+001	-5.846038e+001	5.748888e+001	5.748888e+001	-1.162547e+000	-4.122540e+000	-4.122540e+000	
5.070000e-001	-1.171119e+000	-4.378782e+000	-4.378782e+000	-5.786737e+001	8.003531e+001	8.003531e+001	-5.914571e+001	-7.098930e+001	-7.098930e+001	-1.161732e+000	-4.097209e+000	-4.097209e+000	
5.080000e-001	-1.156102e+000	-4.458700e+000	-4.458700e+000	-6.088697e+001	6.154793e+001	6.154793e+001	-5.815330e+001	-7.603427e+001	-7.603427e+001	-1.162324e+000	-4.129935e+000	-4.129935e+000	
5.090000e-001	-1.139670e+000	-4.521382e+000	-4.521382e+000	-6.627790e+001	-2.732172e+001	-2.732172e+001	-6.193888e+001	8.057392e+001	-9.942608e+001	-1.177939e+000	-4.262205e+000	-4.262205e+000	
5.100000e-001	-1.145753e+000	-4.528695e+000	-4.528695e+000	-5.217542e+001	5.667655e+001	5.667655e+001	-5.810002e+001	6.438529e+001	-1.156147e+002	-1.156143e+000	-4.134012e+000	-4.134012e+000	
5.110000e-001	-1.174495e+000	-4.618261e+000	-4.618261e+000	-6.269802e+001	4.169029e+001	4.169029e+001	-5.653998e+001	-7.838778e+001	-7.838778e+001	-1.165782e+000	-4.233670e+000	-4.233670e+000	
5.120000e-001	-1.175076e+000	-4.529974e+000	-4.529974e+000	-6.015307e+001	7.211480e+001	7.211480e+001	-5.780694e+001	4.664525e+001	4.664525e+001	-1.170413e+000	-4.255790e+000	-4.255790e+000	
