Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.139498e+000	-4.324125e+000	-4.324125e+000	-5.555419e+001	-8.364740e+001	-8.364740e+001	-7.193426e+001	-2.650813e+001	-2.650813e+001	-1.164293e+000	-3.896486e+000	-3.896486e+000	
5.010000e-001	-1.144282e+000	-4.387507e+000	-4.387507e+000	-6.082915e+001	-6.201303e+001	-6.201303e+001	-5.652015e+001	-6.283741e+001	-6.283741e+001	-1.183242e+000	-3.933914e+000	-3.933914e+000	
5.020000e-001	-1.152954e+000	-4.335487e+000	-4.335487e+000	-6.308029e+001	7.087363e+001	7.087363e+001	-6.427205e+001	4.068456e+001	4.068456e+001	-1.153561e+000	-3.940101e+000	-3.940101e+000	
5.030000e-001	-1.156628e+000	-4.390461e+000	-4.390461e+000	-6.074252e+001	6.577988e+001	6.577988e+001	-5.771638e+001	6.801289e+001	6.801289e+001	-1.169605e+000	-4.100826e+000	-4.100826e+000	
5.040000e-001	-1.149407e+000	-4.518172e+000	-4.518172e+000	-6.635694e+001	3.928455e+001	3.928455e+001	-5.512175e+001	6.047557e+001	6.047557e+001	-1.170853e+000	-4.073228e+000	-4.073228e+000	
5.050000e-001	-1.142609e+000	-4.381371e+000	-4.381371e+000	-5.961877e+001	5.953894e+001	5.953894e+001	-5.792841e+001	6.449581e+001	6.449581e+001	-1.161639e+000	-3.903378e+000	-3.903378e+000	
5.060000e-001	-1.155476e+000	-4.483439e+000	-4.483439e+000	-6.722859e+001	4.169834e+001	4.169834e+001	-6.240253e+001	8.738990e+001	8.738990e+001	-1.177946e+000	-4.047876e+000	-4.047876e+000	
5.070000e-001	-1.162449e+000	-4.375307e+000	-4.375307e+000	-5.703764e+001	-7.462760e+001	-7.462760e+001	-7.139102e+001	-5.889542e+001	1.211046e+002	-1.166868e+000	-4.048555e+000	-4.048555e+000	
5.080000e-001	-1.152330e+000	-4.485680e+000	-4.485680e+000	-5.491012e+001	-8.327334e+001	-8.327334e+001	-5.594398e+001	5.880438e+001	2.388044e+002	-1.166588e+000	-4.073948e+000	-4.073948e+000	
5.090000e-001	-1.151712e+000	-4.441561e+000	-4.441561e+000	-5.931658e+001	-6.534832e+001	-6.534832e+001	-6.407954e+001	-8.209640e+001	2.779036e+002	-1.152367e+000	-4.054621e+000	-4.054621e+000	
