Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-6.36245191e+001	-7.64159674e+000	-7.64159674e+000	2.54233161e+001	2.54233161e+001	-6.00690810e+001	8.58624872e+001	8.58624872e+001	1.05632793e+000	1.05632793e+000
5.01000000e-001	-6.59149481e+001	-1.02847677e+001	-1.02847677e+001	-1.27334680e+001	-1.27334680e+001	-5.94096143e+001	6.54196184e+001	6.54196184e+001	-8.05178718e+001	-8.05178718e+001
5.02000000e-001	-4.96277947e+001	-4.33203027e-001	-4.33203027e-001	8.76351547e+001	8.76351547e+001	-5.98928860e+001	-3.89548821e+001	-3.89548821e+001	3.82142177e+001	3.82142177e+001
5.03000000e-001	-6.28990120e+001	5.93929459e+001	5.93929459e+001	8.13763972e+001	8.13763972e+001	-6.13867874e+001	3.34540674e+001	3.34540674e+001	2.24435661e+001	2.24435661e+001
5.04000000e-001	-6.69228590e+001	-3.49333608e+001	-3.49333608e+001	9.29372745e+000	9.29372745e+000	-6.76888244e+001	-3.60508780e+000	-3.60508780e+000	-1.31416104e+001	-1.31416104e+001
5.05000000e-001	-6.00363210e+001	-6.33251512e+000	-6.33251512e+000	-2.76835241e+001	-2.76835241e+001	-6.13165744e+001	5.22904048e+001	5.22904048e+001	1.36162829e+001	1.36162829e+001
5.06000000e-001	-6.02258003e+001	-7.74885253e+001	-7.74885253e+001	-1.35721085e+001	-1.35721085e+001	-6.96592727e+001	-5.72531557e+001	-5.72531557e+001	1.28032774e+001	1.28032774e+001
5.07000000e-001	-7.37065547e+001	6.77925658e+001	-1.12207434e+002	8.76631062e-001	8.76631062e-001	-6.13806083e+001	7.42152435e+001	-1.05784757e+002	9.68354446e+000	9.68354446e+000
5.08000000e-001	-6.03896868e+001	-3.38648793e+001	-2.13864879e+002	1.62414119e+001	1.62414119e+001	-6.12795369e+001	6.77731495e+001	-1.12226851e+002	-1.81323218e+001	-1.81323218e+001
5.09000000e-001	-5.81982064e+001	-4.84934003e+001	-2.28493400e+002	-3.53747120e+001	-3.53747120e+001	-5.42375080e+001	-3.63861573e+000	-1.83638616e+002	-8.78455675e+001	-8.78455675e+001
5.10000000e-001	-5.94419421e+001	-8.79321966e+001	-2.67932197e+002	1.09504502e+001	1.09504502e+001	-7.59433899e+001	2.06342814e+001	-1.59365719e+002	-4.31269574e+000	-4.31269574e+000
5.11000000e-001	-5.96636510e+001	-6.76857471e+001	-2.47685747e+002	3.39559737e+001	3.39559737e+001	-7.23047307e+001	7.66946777e+001	-1.03305322e+002	-1.16909725e+000	-1.16909725e+000
5.12000000e-001	-5.90565353e+001	-7.30167072e+001	-2.53016707e+002	1.87093718e+001	1.87093718e+001	-5.54409417e+001	4.95250109e+000	-1.75047499e+002	7.17618262e+001	7.17618262e+001
5.13000000e-001	-5.55740839e+001	7.37564435e+001	-2.86243557e+002	2.78865486e+001	2.78865486e+001	-6.50229519e+001	-2.02449051e+001	-2.00244905e+002	-1.78021080e+001	-1.78021080e+001
5.14000000e-001	-5.77454820e+001	3.81395760e+001	-3.21860424e+002	3.42257236e+001	3.42257236e+001	-6.58240863e+001	8.26493422e+001	-9.73506578e+001	6.25034910e-002	6.25034910e-002
5.15000000e-001	-5.94198097e+001	-6.14154941e+001	-4.21415494e+002	-2.23865072e+001	-2.23865072e+001	-6.11606505e+001	1.82554524e+001	-1.61744548e+002	2.91627848e+001	2.91627848e+001
5.16000000e-001	-5.96377068e+001	-5.18997083e+001	-4.11899708e+002	-2.52720680e+001	-2.52720680e+001	-5.86534901e+001	4.73552013e+001	-1.32644799e+002	1.64842421e+001	1.64842421e+001
5.17000000e-001	-5.95722818e+001	-4.98682685e+001	-4.09868269e+002	3.23455293e+001	3.23455293e+001	-5.81718682e+001	8.17433601e+001	-9.82566399e+001	5.67456074e+000	5.67456074e+000
5.18000000e-001	-6.43572475e+001	-7.62696714e+001	-4.36269671e+002	1.42879823e+001	1.42879823e+001	-5.88690295e+001	-6.06023751e+001	-6.06023751e+001	4.72288998e+001	4.72288998e+001
5.19000000e-001	-6.19594351e+001	-7.20606915e-002	-3.60072061e+002	-3.09220357e+001	-3.09220357e+001	-8.00863334e+001	8.58144270e+001	-9.41855730e+001	-4.06302490e-001	-4.06302490e-001
5.20000000e-001	-5.60542929e+001	-5.47126362e+001	-4.14712636e+002	2.48854876e+001	2.48854876e+001	-6.37733125e+001	6.30584687e+001	-1.16941531e+002	1.95677290e+001	1.95677290e+001
5.21000000e-001	-6.50935220e+001	6.07140602e+001	-2.99285940e+002	1.82160430e+001	1.82160430e+001	-7.22577050e+001	6.29659160e+001	-1.17034084e+002	2.59052629e+000	2.59052629e+000
5.22000000e-001	-6.53362035e+001	-8.39253544e+001	-2.63925354e+002	4.61250523e+000	4.61250523e+000	-6.02785097e+001	4.14662382e+001	-1.38533762e+002	2.72964126e+001	2.72964126e+001
5.23000000e-001	-6.12499511e+001	4.61110539e+001	-3.13888946e+002	-2.73703086e+001	-2.73703086e+001	-6.45311664e+001	-2.12643370e+001	-2.01264337e+002	2.61360825e+001	2.61360825e+001
5.24000000e-001	-5.57976807e+001	8.56719105e-001	-3.59143281e+002	5.51423945e+001	5.51423945e+001	-5.90138097e+001	-6.35841421e+001	-2.43584142e+002	-4.57575097e+001	-4.57575097e+001
5.25000000e-001	-6.68193444e+001	1.93170867e+001	-3.40682913e+002	-1.95466543e+001	-1.95466543e+001	-7.00213314e+001	4.61127931e+001	-1.33887207e+002	1.08322802e+001	1.08322802e+001
5.26000000e-001	-5.71011787e+001	-1.86103034e+001	-3.78610303e+002	-3.95725920e+001	-3.95725920e+001	-5.28698643e+001	-8.55328289e+001	-8.55328289e+001	-2.87993414e+001	-2.87993414e+001
5.27000000e-001	-6.28297872e+001	-6.76611798e+001	-4.27661180e+002	1.72847410e+001	1.72847410e+001	-5.36680063e+001	-3.74439712e+001	-3.74439712e+001	-4.47141755e+001	-4.47141755e+001
5.28000000e-001	-6.08979739e+001	5.23212608e+001	-3.07678739e+002	-1.59856501e+001	-1.59856501e+001	-6.31173079e+001	5.54814532e+001	5.54814532e+001	9.34287480e+000	9.34287480e+000
