Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-6.34919997e+001	7.79532286e+001	7.79532286e+001	4.37705859e+000	4.37705859e+000	-6.20681539e+001	-4.61095643e+001	-4.61095643e+001	-1.95292402e+001	-1.95292402e+001
5.01000000e-001	-5.89503213e+001	1.20920373e+001	1.20920373e+001	4.09284102e+001	4.09284102e+001	-5.65047244e+001	7.37441459e+001	7.37441459e+001	-9.05694222e+000	-9.05694222e+000
5.02000000e-001	-5.16078176e+001	-2.20943457e+001	-2.20943457e+001	5.84456310e+001	5.84456310e+001	-5.89216143e+001	-5.50553616e+001	-5.50553616e+001	3.48998792e+001	3.48998792e+001
5.03000000e-001	-5.78392601e+001	-4.32875831e+001	-4.32875831e+001	4.14634995e+001	4.14634995e+001	-5.84563654e+001	-4.42767511e+001	-4.42767511e+001	2.23497752e+001	2.23497752e+001
5.04000000e-001	-5.20200309e+001	6.22203779e+001	6.22203779e+001	8.79609211e+001	8.79609211e+001	-5.95438104e+001	-2.41588332e+001	-2.41588332e+001	2.86947650e+001	2.86947650e+001
5.05000000e-001	-5.82817793e+001	-4.22039036e+001	-4.22039036e+001	-3.36180823e+001	-3.36180823e+001	-5.68100913e+001	-5.85063286e+001	-5.85063286e+001	-3.06382613e+001	-3.06382613e+001
5.06000000e-001	-6.77420397e+001	9.75496857e+000	9.75496857e+000	1.06716841e+001	1.06716841e+001	-6.23748617e+001	-3.37543117e+001	-3.37543117e+001	3.31541729e+001	3.31541729e+001
5.07000000e-001	-6.20669797e+001	-1.87340037e+001	-1.87340037e+001	2.79374437e+001	2.79374437e+001	-6.98961207e+001	7.93434157e+000	7.93434157e+000	1.18521037e+001	1.18521037e+001
5.08000000e-001	-5.25004472e+001	-7.74045814e+001	-7.74045814e+001	5.36452967e+001	5.36452967e+001	-6.02970840e+001	-5.01236201e+001	-5.01236201e+001	2.64975797e+001	2.64975797e+001
5.09000000e-001	-6.72765910e+001	-5.55070246e+000	-5.55070246e+000	1.17033528e+001	1.17033528e+001	-5.95612294e+001	4.38192877e+000	4.38192877e+000	4.25839442e+001	4.25839442e+001
5.10000000e-001	-5.57990206e+001	-7.53150946e+001	-7.53150946e+001	2.15388921e+001	2.15388921e+001	-5.77795444e+001	-6.09607099e+001	-6.09607099e+001	2.36436543e+001	2.36436543e+001
5.11000000e-001	-5.83338652e+001	-2.52410045e+001	-2.52410045e+001	6.28243064e+001	6.28243064e+001	-5.87735087e+001	-6.53325786e+001	-6.53325786e+001	-5.04437646e+001	-5.04437646e+001
5.12000000e-001	-5.98937059e+001	-4.40453678e+001	-4.40453678e+001	2.84155174e+001	2.84155174e+001	-5.75166987e+001	-1.02707858e+001	-1.02707858e+001	5.15728252e+001	5.15728252e+001
5.13000000e-001	-6.26120417e+001	6.00981008e+001	6.00981008e+001	1.11833012e+001	1.11833012e+001	-5.98507786e+001	6.57099481e+001	6.57099481e+001	-8.15342524e+000	-8.15342524e+000
5.14000000e-001	-7.45873507e+001	-3.49341681e+001	-3.49341681e+001	-4.84645057e+000	-4.84645057e+000	-6.59834287e+001	3.43697236e+001	3.43697236e+001	-1.46432348e+001	-1.46432348e+001
5.15000000e-001	-6.57940681e+001	6.73774858e+001	6.73774858e+001	6.87619048e+000	6.87619048e+000	-6.55127324e+001	-7.05963825e+000	-7.05963825e+000	1.75801359e+001	1.75801359e+001
5.16000000e-001	-6.23631133e+001	4.42399849e+001	4.42399849e+001	1.54935567e+001	1.54935567e+001	-6.71322630e+001	7.33974355e+001	7.33974355e+001	2.43024266e+000	2.43024266e+000
5.17000000e-001	-6.57931642e+001	1.37569612e+001	1.37569612e+001	1.54614310e+001	1.54614310e+001	-5.52936412e+001	-1.22819048e+001	-1.22819048e+001	-3.97688473e+001	-3.97688473e+001
5.18000000e-001	-7.09233422e+001	-3.73278469e+001	-3.73278469e+001	-1.55840408e+001	-1.55840408e+001	-5.69154512e+001	-8.22423749e+000	-8.22423749e+000	-8.34851217e+001	-8.34851217e+001
5.19000000e-001	-6.09284097e+001	-5.30698515e+000	-5.30698515e+000	-3.53450561e+001	-3.53450561e+001	-6.23888365e+001	2.63754404e+001	2.63754404e+001	3.15699347e+001	3.15699347e+001
5.20000000e-001	-5.86115325e+001	2.29111499e+001	2.29111499e+001	4.66273255e+001	4.66273255e+001	-6.50691955e+001	-4.66997252e+001	-4.66997252e+001	-1.56548901e+001	-1.56548901e+001
5.21000000e-001	-5.66188093e+001	-5.74977191e+000	-5.74977191e+000	-5.18085704e+001	-5.18085704e+001	-5.97305280e+001	3.40600946e+001	3.40600946e+001	-1.79651435e+001	-1.79651435e+001
5.22000000e-001	-6.16409343e+001	4.62974458e+001	4.62974458e+001	-1.33027325e+001	-1.33027325e+001	-7.75214636e+001	8.14648641e+001	8.14648641e+001	2.97326271e-001	2.97326271e-001
5.23000000e-001	-6.15144250e+001	-1.23646409e+001	-1.23646409e+001	-4.59587208e+001	-4.59587208e+001	-6.13065293e+001	5.33470726e+001	5.33470726e+001	-3.21547550e+001	-3.21547550e+001
5.24000000e-001	-6.62378086e+001	7.70341361e+001	7.70341361e+001	-6.86147192e+000	-6.86147192e+000	-6.17612020e+001	1.39697043e+001	1.39697043e+001	3.15005782e+001	3.15005782e+001
5.25000000e-001	-5.42787835e+001	2.51022682e+001	2.51022682e+001	-5.51924582e+001	-5.51924582e+001	-6.39975923e+001	-3.58444418e+001	-3.58444418e+001	1.36023404e+001	1.36023404e+001
