Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.29000000e-001	-5.88469234e+001	5.26504882e+001	-1.27349512e+002	1.34856440e+001	1.34856440e+001	-6.82370726e+001	-3.38964069e+001	-3.38964069e+001	1.18357594e+001	1.18357594e+001
5.30000000e-001	-6.84576288e+001	3.52700532e+000	-1.76472995e+002	-1.65160572e+001	-1.65160572e+001	-5.79776798e+001	4.01597657e+001	4.01597657e+001	1.49686059e+001	1.49686059e+001
5.31000000e-001	-5.58982156e+001	-3.93461464e+001	-2.19346146e+002	5.21096031e+001	5.21096031e+001	-5.32617146e+001	-2.73238183e+001	-2.73238183e+001	5.73045220e+001	5.73045220e+001
5.32000000e-001	-5.94689853e+001	-6.32613182e+001	-2.43261318e+002	-1.88157808e+001	-1.88157808e+001	-7.03947790e+001	8.36051668e+001	8.36051668e+001	-1.46587039e+000	-1.46587039e+000
5.33000000e-001	-6.29682083e+001	5.50789734e+001	-1.24921027e+002	1.81626875e+001	1.81626875e+001	-5.99400094e+001	-1.32726311e+001	-1.32726311e+001	-4.47429954e+001	-4.47429954e+001
5.34000000e-001	-5.36341907e+001	-4.99089142e+001	-2.29908914e+002	3.03976308e+001	3.03976308e+001	-5.99815140e+001	-5.16956658e+000	-5.16956658e+000	-6.52849004e+001	-6.52849004e+001
5.35000000e-001	-6.71234403e+001	1.83862410e+001	-1.61613759e+002	1.51462073e+001	1.51462073e+001	-5.72514065e+001	-6.97324321e+001	-6.97324321e+001	1.76232558e+001	1.76232558e+001
5.36000000e-001	-5.90682949e+001	-4.79389334e+001	-2.27938933e+002	3.33227111e+001	3.33227111e+001	-6.24759074e+001	-8.52280742e+001	-8.52280742e+001	-1.21035570e+001	-1.21035570e+001
5.37000000e-001	-5.53890970e+001	-6.05270724e+001	-2.40527072e+002	-3.86170904e+001	-3.86170904e+001	-5.91627469e+001	7.58379831e+001	-1.04162017e+002	7.72199109e+000	7.72199109e+000
5.38000000e-001	-6.25278385e+001	2.16761427e+001	-1.58323857e+002	-1.97449591e+001	-1.97449591e+001	-5.81501782e+001	8.18624206e+001	-9.81375794e+001	5.20669043e+000	5.20669043e+000
5.39000000e-001	-6.51394916e+001	-3.93054901e+001	-2.19305490e+002	2.23053386e+001	2.23053386e+001	-5.77638034e+001	-7.43915703e+001	-7.43915703e+001	3.12227673e+001	3.12227673e+001
5.40000000e-001	-5.93373699e+001	-8.06424197e+001	-2.60642420e+002	2.44371442e+000	2.44371442e+000	-6.17461508e+001	4.96572694e+001	4.96572694e+001	2.83539854e+001	2.83539854e+001
5.41000000e-001	-5.67674300e+001	-3.27607589e+000	-1.83276076e+002	-4.01546446e+001	-4.01546446e+001	-6.04840977e+001	1.10576396e+001	1.10576396e+001	2.40038781e+001	2.40038781e+001
5.42000000e-001	-6.32675226e+001	-3.42050128e+001	-2.14205013e+002	-2.31356024e+001	-2.31356024e+001	-6.74401803e+001	5.99687108e+001	5.99687108e+001	5.79229026e+000	5.79229026e+000
