Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-6.41556064e+001	8.58713929e+001	8.58713929e+001	-9.96272595e-001	-9.96272595e-001	-6.66959838e+001	-5.48222374e+001	-5.48222374e+001	9.03073452e+000	9.03073452e+000
5.01000000e-001	-7.22159903e+001	1.57025843e+001	1.57025843e+001	-5.28089046e+000	-5.28089046e+000	-6.43460178e+001	2.68488413e+001	2.68488413e+001	2.38400761e+001	2.38400761e+001
5.02000000e-001	-5.21912619e+001	8.29866116e+000	8.29866116e+000	-6.02321684e+001	-6.02321684e+001	-5.52867950e+001	-2.04146187e+001	-2.04146187e+001	-6.64962115e+001	-6.64962115e+001
5.03000000e-001	-5.97979104e+001	-2.98852678e+001	-2.98852678e+001	-4.61736944e+001	-4.61736944e+001	-6.34481590e+001	8.44635276e+001	8.44635276e+001	5.22114736e+000	5.22114736e+000
5.04000000e-001	-5.68379450e+001	7.19420048e+001	7.19420048e+001	-1.71600867e+000	-1.71600867e+000	-7.83631834e+001	6.53682664e+001	6.53682664e+001	7.91730983e-001	7.91730983e-001
5.05000000e-001	-5.64179290e+001	-2.67553101e+001	-2.67553101e+001	4.53304836e+001	4.53304836e+001	-5.47301072e+001	8.30496216e+001	8.30496216e+001	-3.44778649e+000	-3.44778649e+000
5.06000000e-001	-5.78712135e+001	7.46672439e+001	7.46672439e+001	-1.23554533e+001	-1.23554533e+001	-6.40710105e+001	5.49100973e+001	5.49100973e+001	6.53204388e+000	6.53204388e+000
5.07000000e-001	-8.23980574e+001	-8.56724124e+001	9.43275876e+001	-1.02687413e+000	-1.02687413e+000	-6.12802466e+001	-3.00390770e+000	-3.00390770e+000	-3.00706294e+001	-3.00706294e+001
5.08000000e-001	-5.78729048e+001	-2.70050111e+001	1.52994989e+002	3.81127172e+001	3.81127172e+001	-5.79477281e+001	2.79928386e+001	2.79928386e+001	-2.70133124e+001	-2.70133124e+001
5.09000000e-001	-6.04166946e+001	5.95072218e+001	2.39507222e+002	-1.36578455e+001	-1.36578455e+001	-5.47338114e+001	-2.29961376e+001	-2.29961376e+001	-7.21962875e+001	-7.21962875e+001
5.10000000e-001	-6.03807385e+001	-5.38042596e+001	1.26195740e+002	-3.01233525e+001	-3.01233525e+001	-6.01667622e+001	-3.45735955e+001	-3.45735955e+001	-2.96274876e+001	-2.96274876e+001
5.11000000e-001	-5.69541929e+001	-6.60665218e+001	1.13933478e+002	-4.05180416e+001	-4.05180416e+001	-6.87159944e+001	6.01866557e+000	6.01866557e+000	1.31357843e+001	1.31357843e+001
