Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.29000000e-001	-6.08295861e+001	1.51261871e+001	1.95126187e+002	-3.83441723e+001	-3.83441723e+001	-5.41449993e+001	5.39897909e+000	5.39897909e+000	-5.71972157e+001	-5.71972157e+001
5.30000000e-001	-6.06521350e+001	6.44393981e+001	2.44439398e+002	7.58123521e+000	7.58123521e+000	-5.74840492e+001	3.99314354e+001	3.99314354e+001	-3.59854337e+001	-3.59854337e+001
5.31000000e-001	-6.28418836e+001	5.51171985e+001	2.35117198e+002	-7.79656020e+000	-7.79656020e+000	-6.25599113e+001	-7.74812285e+001	-7.74812285e+001	-2.16204981e+001	-2.16204981e+001
5.32000000e-001	-5.84460468e+001	-8.69060032e+001	2.73093997e+002	3.88070405e+000	3.88070405e+000	-7.44903174e+001	3.01820059e+001	3.01820059e+001	6.41401992e+000	6.41401992e+000
5.33000000e-001	-6.15960261e+001	-7.09250113e+000	3.52907499e+002	-2.30604745e+001	-2.30604745e+001	-7.18271888e+001	-5.09899588e+001	-5.09899588e+001	6.89879511e+000	6.89879511e+000
5.34000000e-001	-5.46357977e+001	-2.91157106e+001	3.30884289e+002	-6.07939416e+001	-6.07939416e+001	-6.27733654e+001	-1.41572985e+001	-1.41572985e+001	3.82791330e+001	3.82791330e+001
5.35000000e-001	-6.95131111e+001	8.63964005e+001	4.46396401e+002	-1.10197633e+000	-1.10197633e+000	-7.57264434e+001	-7.71034393e+001	-7.71034393e+001	-3.89816568e+000	-3.89816568e+000
5.36000000e-001	-6.26435146e+001	8.95405977e+001	4.49540598e+002	-2.76114238e+000	-2.76114238e+000	-6.05926226e+001	2.30823551e+001	2.30823551e+001	2.10265133e+001	2.10265133e+001
5.37000000e-001	-7.22588390e+001	-7.18206477e+001	4.68179352e+002	3.13932841e+000	3.13932841e+000	-6.26654274e+001	5.95566403e+001	5.95566403e+001	2.15631805e+000	2.15631805e+000
5.38000000e-001	-6.64301055e+001	-8.61321320e+001	4.53867868e+002	9.94541915e-001	9.94541915e-001	-6.10094255e+001	-7.99487934e+001	1.00051207e+002	-9.42234582e+000	-9.42234582e+000
5.39000000e-001	-6.56748449e+001	-8.02692303e+001	4.59730770e+002	6.79764829e+000	6.79764829e+000	-5.94366769e+001	-4.00675562e+001	1.39932444e+002	8.49135341e+001	8.49135341e+001
5.40000000e-001	-5.46550643e+001	2.42039777e+001	5.64203978e+002	-5.62624310e+001	-5.62624310e+001	-6.40490901e+001	-6.74754272e+001	1.12524573e+002	1.49043655e+001	1.49043655e+001
5.41000000e-001	-7.47494922e+001	-4.89608016e+001	4.91039198e+002	-4.90749062e+000	-4.90749062e+000	-6.17339546e+001	3.02441259e+001	2.10244126e+002	2.18340753e+001	2.18340753e+001
5.42000000e-001	-5.63772209e+001	8.62525620e+001	4.46252562e+002	-2.67943934e+001	-2.67943934e+001	-6.11462132e+001	7.48390778e+001	2.54839078e+002	-8.21457532e+000	-8.21457532e+000
5.43000000e-001	-6.16785944e+001	-3.65841727e+001	3.23415827e+002	5.26605260e+001	5.26605260e+001	-5.91758306e+001	3.40989503e+000	1.83409895e+002	-3.35976847e+001	-3.35976847e+001
5.44000000e-001	-6.61070703e+001	-3.48824903e+001	3.25117510e+002	2.31628530e+001	2.31628530e+001	-5.77462284e+001	-8.61294558e+001	9.38705442e+001	3.51207167e+001	3.51207167e+001
5.45000000e-001	-5.89315655e+001	-2.96135910e+001	3.30386409e+002	-2.87951144e+001	-2.87951144e+001	-6.29584937e+001	-1.32888799e+001	1.66711120e+002	-2.55814731e+001	-2.55814731e+001
5.46000000e-001	-5.92712933e+001	-8.31107092e+001	2.76889291e+002	1.44122046e+001	1.44122046e+001	-5.86994115e+001	1.54922502e+000	1.81549225e+002	3.63684009e+001	3.63684009e+001
5.47000000e-001	-5.83961013e+001	4.32900495e+000	3.64329005e+002	3.33904258e+001	3.33904258e+001	-6.13320544e+001	-6.06359744e+001	1.19364026e+002	1.75224552e+001	1.75224552e+001
5.48000000e-001	-7.26922202e+001	5.04762462e+001	4.10476246e+002	2.69330935e+000	2.69330935e+000	-5.46891214e+001	2.15599228e+001	2.01559923e+002	6.50049258e+001	6.50049258e+001
5.49000000e-001	-5.83479970e+001	-4.71690259e+001	3.12830974e+002	-2.91399852e+001	-2.91399852e+001	-5.91373049e+001	-8.85970863e+001	9.14029137e+001	-1.37057609e+000	-1.37057609e+000
5.50000000e-001	-5.41726429e+001	-7.03155660e+001	2.89684434e+002	5.87539842e+001	5.87539842e+001	-5.58535050e+001	6.43558755e+001	6.43558755e+001	1.54093089e+001	1.54093089e+001
5.51000000e-001	-5.75394027e+001	3.07954650e-002	3.60030795e+002	-4.15198814e+001	-4.15198814e+001	-6.16385114e+001	-1.30876013e+001	-1.30876013e+001	-3.38001365e+001	-3.38001365e+001
5.52000000e-001	-6.49971100e+001	5.41806456e+001	4.14180646e+002	-1.00366639e+001	-1.00366639e+001	-5.93147603e+001	-4.92955713e+001	-4.92955713e+001	2.91991686e+001	2.91991686e+001
5.53000000e-001	-5.99817888e+001	5.98543016e+001	4.19854302e+002	3.11487018e+001	3.11487018e+001	-7.12572267e+001	2.58889477e+001	2.58889477e+001	5.88573612e+000	5.88573612e+000
5.54000000e-001	-5.76820676e+001	1.13667409e+001	3.71366741e+002	-4.56006947e+001	-4.56006947e+001	-5.20368989e+001	2.03376367e+001	2.03376367e+001	5.82663183e+001	5.82663183e+001
5.55000000e-001	-5.71970047e+001	-8.96507889e+001	2.70349211e+002	3.42969838e+001	3.42969838e+001	-5.88377448e+001	8.72510376e+000	8.72510376e+000	4.26359113e+001	4.26359113e+001
