Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-6.13551044e+001	-2.24776940e+001	-2.24776940e+001	-2.38690441e+001	-2.38690441e+001	-5.92052017e+001	-7.70627184e+001	-7.70627184e+001	-1.43444826e+001	-1.43444826e+001
5.01000000e-001	-7.81097968e+001	-6.26621891e+001	-6.26621891e+001	2.16792188e+000	2.16792188e+000	-6.17911753e+001	-2.34921699e+001	-2.34921699e+001	-2.28942050e+001	-2.28942050e+001
5.02000000e-001	-6.73306205e+001	-3.10286791e+001	-3.10286791e+001	8.41059360e+000	8.41059360e+000	-7.61386743e+001	4.83627678e+000	4.83627678e+000	-8.45377047e+000	-8.45377047e+000
5.03000000e-001	-6.38768107e+001	4.93166065e+001	4.93166065e+001	5.68179332e+000	5.68179332e+000	-6.44309460e+001	7.39164341e+001	7.39164341e+001	-4.30346104e+000	-4.30346104e+000
5.04000000e-001	-5.49644016e+001	-5.46190868e+001	-5.46190868e+001	4.79025221e+001	4.79025221e+001	-5.45096346e+001	7.62893070e+001	7.62893070e+001	1.45277669e+001	1.45277669e+001
5.05000000e-001	-6.10296682e+001	5.73885738e+001	5.73885738e+001	1.92946517e+001	1.92946517e+001	-6.32958263e+001	2.12975956e+001	2.12975956e+001	-2.17538417e+001	-2.17538417e+001
5.06000000e-001	-7.02738964e+001	-2.25318129e+001	-2.25318129e+001	-7.91465906e+000	-7.91465906e+000	-6.01654966e+001	3.05113177e+001	3.05113177e+001	-2.90666995e+001	-2.90666995e+001
5.07000000e-001	-6.00463886e+001	6.99809283e+001	6.99809283e+001	8.34313682e+000	8.34313682e+000	-5.62578398e+001	6.18603091e+001	6.18603091e+001	1.93091835e+001	1.93091835e+001
5.08000000e-001	-6.49264146e+001	1.42072738e+001	1.42072738e+001	1.23675094e+001	1.23675094e+001	-6.00530896e+001	-2.75470607e+001	-2.75470607e+001	2.25486973e+001	2.25486973e+001
5.09000000e-001	-5.87283423e+001	1.85590271e+001	1.85590271e+001	-2.47217367e+001	-2.47217367e+001	-5.49155488e+001	3.17225024e+001	3.17225024e+001	-2.44110697e+001	-2.44110697e+001
5.10000000e-001	-5.69669253e+001	-5.88338005e+001	-5.88338005e+001	2.39634602e+001	2.39634602e+001	-6.41988017e+001	1.49745938e+001	1.49745938e+001	1.33333090e+001	1.33333090e+001
5.11000000e-001	-6.96457731e+001	3.41562997e+001	3.41562997e+001	-5.91064882e+000	-5.91064882e+000	-6.62582506e+001	-6.68086101e+001	-6.68086101e+001	-3.33970790e+000	-3.33970790e+000
5.12000000e-001	-5.55653895e+001	-5.91628251e+001	-5.91628251e+001	2.17110131e+001	2.17110131e+001	-5.34949930e+001	3.81553557e+001	3.81553557e+001	-4.13010824e+001	-4.13010824e+001
5.13000000e-001	-5.89689299e+001	5.74297502e+001	5.74297502e+001	1.20829896e+001	1.20829896e+001	-5.95227050e+001	8.93525840e+001	8.93525840e+001	4.08007409e+000	4.08007409e+000
5.14000000e-001	-5.29546709e+001	6.46357751e+001	6.46357751e+001	-2.41332876e+001	-2.41332876e+001	-5.45331997e+001	2.88416307e+001	2.88416307e+001	-3.34657323e+001	-3.34657323e+001
5.15000000e-001	-6.02516735e+001	-8.43011021e+001	9.56988979e+001	-7.36876731e-001	-7.36876731e-001	-5.52378683e+001	-6.48923581e+001	-6.48923581e+001	-3.09370011e+001	-3.09370011e+001
5.16000000e-001	-6.37444480e+001	-5.07645934e+001	1.29235407e+002	1.18500190e+001	1.18500190e+001	-6.13345303e+001	6.57268455e+001	-1.14273154e+002	2.01324386e+000	2.01324386e+000
5.17000000e-001	-5.90222247e+001	-1.94120375e+001	1.60587962e+002	2.88158207e+001	2.88158207e+001	-5.66736432e+001	-9.47628837e+000	-1.89476288e+002	4.02395118e+001	4.02395118e+001
5.18000000e-001	-6.06330681e+001	-5.08130156e+001	1.29186984e+002	-2.69523800e+001	-2.69523800e+001	-6.72676004e+001	1.12248869e+001	-1.68775113e+002	-8.79127102e+000	-8.79127102e+000
5.19000000e-001	-5.92338637e+001	2.08224160e+001	2.00822416e+002	-2.66316856e+001	-2.66316856e+001	-6.51316396e+001	-8.50474810e+001	-2.65047481e+002	-8.24949436e+000	-8.24949436e+000
5.20000000e-001	-7.56829520e+001	5.45344895e+001	2.34534489e+002	2.50213898e+000	2.50213898e+000	-5.60533165e+001	-6.23806800e+001	-2.42380680e+002	1.72450347e+001	1.72450347e+001
5.21000000e-001	-6.13552309e+001	2.65712676e+001	2.06571268e+002	-2.26416685e+001	-2.26416685e+001	-6.62719383e+001	7.25079118e+001	-2.87492088e+002	8.93462354e-001	8.93462354e-001
5.22000000e-001	-5.23242596e+001	6.23998069e+001	2.42399807e+002	1.36276807e+000	1.36276807e+000	-5.40542705e+001	-5.63833313e+001	-4.16383331e+002	-2.94382597e+001	-2.94382597e+001
5.23000000e-001	-7.17663834e+001	-4.42728884e+001	1.35727112e+002	-6.72667638e+000	-6.72667638e+000	-6.99863482e+001	1.96953777e+001	-3.40304622e+002	-8.00903731e+000	-8.00903731e+000
5.24000000e-001	-6.60660121e+001	5.41027531e+001	2.34102753e+002	-3.38026495e+000	-3.38026495e+000	-5.97112023e+001	8.34386865e+001	-2.76561314e+002	8.10479327e+000	8.10479327e+000
5.25000000e-001	-5.92268237e+001	5.48960226e+001	2.34896023e+002	-9.09372996e+000	-9.09372996e+000	-6.05160091e+001	6.09851395e-003	-3.59993901e+002	1.81154692e+001	1.81154692e+001
5.26000000e-001	-6.37763193e+001	-2.33001500e+001	1.56699850e+002	-1.20565369e+001	-1.20565369e+001	-6.50971693e+001	-8.07453735e+001	-4.40745374e+002	4.11962276e+000	4.11962276e+000
