Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
6.07600000e+000	-3.67302822e+001	7.64635824e+001	-5.50353642e+003	-8.60210328e+000	-2.52860210e+003	-3.65815456e+001	7.20643057e+001	-1.21679357e+004	-7.48516469e+000	-2.34748516e+003
6.07700000e+000	-3.62045162e+001	7.27566688e+001	-5.50724333e+003	-7.80284236e+000	-2.52780284e+003	-3.67723964e+001	6.71490766e+001	-1.21728509e+004	-5.37851745e+000	-2.34537852e+003
6.07800000e+000	-3.67322805e+001	7.13355233e+001	-5.50866448e+003	-6.80462850e+000	-2.52680463e+003	-3.59049808e+001	6.76899232e+001	-1.21723101e+004	-7.42907959e+000	-2.34742908e+003
6.07900000e+000	-3.52247137e+001	6.47993688e+001	-5.51520063e+003	-5.54711478e+000	-2.52554711e+003	-3.54487878e+001	5.79757070e+001	-1.21820243e+004	-3.42653048e+000	-2.34342653e+003
6.08000000e+000	-3.64640317e+001	5.91540269e+001	-5.52084597e+003	-2.55489264e+000	-2.52255489e+003	-3.55472969e+001	5.29584015e+001	-1.21870416e+004	-7.19389280e-001	-2.34071939e+003
6.08100000e+000	-3.46013654e+001	5.34568141e+001	-5.52654319e+003	-5.95263635e-001	-2.52059526e+003	-3.60241863e+001	5.04161672e+001	-1.21895838e+004	2.30932414e-001	-2.33976907e+003
6.08200000e+000	-3.58427615e+001	4.01097918e+001	-5.53989021e+003	4.80879760e+000	-2.51519120e+003	-3.53933503e+001	3.82610257e+001	-1.22017390e+004	5.97604802e+000	-2.33402395e+003
6.08300000e+000	-3.47457549e+001	3.31188592e+001	-5.54688114e+003	9.20644763e+000	-2.51079355e+003	-3.57902865e+001	3.23910658e+001	-1.22076089e+004	7.38231845e+000	-2.33261768e+003
6.08400000e+000	-3.51372203e+001	2.59881237e+001	-5.55401188e+003	1.14899811e+001	-2.50851002e+003	-3.52268545e+001	1.96790767e+001	-1.22203209e+004	1.45161090e+001	-2.32548389e+003
6.08500000e+000	-3.58779547e+001	2.44667529e+001	-5.55553325e+003	1.18039279e+001	-2.50819607e+003	-3.59662715e+001	1.39429105e+001	-1.22260571e+004	1.49008917e+001	-2.32509911e+003
6.08600000e+000	-3.53980049e+001	1.92275192e+001	-5.56077248e+003	1.39539789e+001	-2.50604602e+003	-3.56092167e+001	5.96870429e+000	-1.22340313e+004	1.89373003e+001	-2.32106270e+003
6.08700000e+000	-3.56579320e+001	1.08373665e+001	-5.56916263e+003	1.66195754e+001	-2.50338042e+003	-3.52740428e+001	1.03719914e+001	-1.22296280e+004	1.78734843e+001	-2.32212652e+003
6.08800000e+000	-3.41688650e+001	-7.18491668e-001	-5.58071849e+003	2.54130527e+001	-2.49458695e+003	-3.46436125e+001	-3.54765371e+000	-1.22435477e+004	2.50871266e+001	-2.31491287e+003
6.08900000e+000	-3.48147597e+001	-8.61364022e+000	-5.58861364e+003	2.80600681e+001	-2.49193993e+003	-3.48558777e+001	-3.54286141e+000	-1.22435429e+004	2.49537115e+001	-2.31504629e+003
6.09000000e+000	-3.41228207e+001	-1.78028487e+001	-5.59780285e+003	3.32516530e+001	-2.48674835e+003	-3.45315112e+001	-3.47746525e+000	-1.22434775e+004	2.46016257e+001	-2.31539837e+003
6.09100000e+000	-3.49834689e+001	-1.65373303e+001	-5.59653733e+003	2.94536549e+001	-2.49054635e+003	-3.50315760e+001	-2.08131753e+001	-1.22608132e+004	2.92517843e+001	-2.31074822e+003
6.09200000e+000	-3.50149922e+001	-1.87960809e+001	-5.59879608e+003	3.13515274e+001	-2.48864847e+003	-3.50522660e+001	-2.25824198e+001	-1.22625824e+004	3.15349203e+001	-2.30846508e+003
6.09300000e+000	-3.57836838e+001	-2.29150506e+001	-5.60291505e+003	2.95869254e+001	-2.49041307e+003	-3.37810296e+001	-2.76432311e+001	-1.22676432e+004	3.62213293e+001	-2.30377867e+003
6.09400000e+000	-3.43729408e+001	-3.28964957e+001	-5.61289650e+003	3.75436200e+001	-2.48245638e+003	-3.37140855e+001	-3.46897184e+001	-1.22746897e+004	4.13301804e+001	-2.29866982e+003
6.09500000e+000	-3.46064181e+001	-3.48248578e+001	-5.61482486e+003	3.81110447e+001	-2.48188896e+003	-3.45693624e+001	-4.31920226e+001	-1.22831920e+004	3.90356466e+001	-2.30096435e+003
