Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.28000000e-001	-5.88344299e+001	-3.84365428e+001	-3.84365428e+001	-2.70374798e+001	-2.70374798e+001	-5.58169010e+001	6.35379391e+001	-2.96462061e+002	-1.30683052e+001	-1.30683052e+001
5.29000000e-001	-5.73153389e+001	1.23152889e+001	1.23152889e+001	3.69395006e+001	3.69395006e+001	-5.79621846e+001	5.27672078e+001	-3.07232792e+002	1.80914774e+001	1.80914774e+001
5.30000000e-001	-6.85795309e+001	-3.42442103e+001	-3.42442103e+001	9.36524495e+000	9.36524495e+000	-6.51418147e+001	-1.01764309e+001	-3.70176431e+002	1.76345591e+001	1.76345591e+001
5.31000000e-001	-7.24059712e+001	-6.97565192e+001	-6.97565192e+001	-2.39884751e+000	-2.39884751e+000	-8.16917873e+001	-4.33623486e+001	-4.03362349e+002	1.66188467e+000	1.66188467e+000
5.32000000e-001	-6.40513053e+001	2.99189725e+001	2.99189725e+001	-1.35291271e+001	-1.35291271e+001	-5.91239730e+001	-3.72668884e+001	-3.97266888e+002	-3.03851461e+001	-3.03851461e+001
5.33000000e-001	-5.43500933e+001	-3.63111253e+001	-3.63111253e+001	4.47282935e+001	4.47282935e+001	-5.98627997e+001	-6.82176202e+001	-4.28217620e+002	1.46088462e+001	1.46088462e+001
5.34000000e-001	-5.59133428e+001	6.52081518e+001	6.52081518e+001	-4.24200978e+001	-4.24200978e+001	-6.42570275e+001	7.24804627e+001	-4.67519537e+002	-5.87603885e+000	-5.87603885e+000
5.35000000e-001	-6.90103985e+001	7.11006372e+001	7.11006372e+001	1.30409226e+000	1.30409226e+000	-7.07136145e+001	-7.09980614e+001	-4.30998061e+002	-5.11055756e+000	-5.11055756e+000
5.36000000e-001	-6.38214514e+001	8.99260080e+001	8.99260080e+001	6.17851039e-001	6.17851039e-001	-6.16756910e+001	-5.12452420e+001	-4.11245242e+002	-1.50546105e+001	-1.50546105e+001
5.37000000e-001	-6.16424070e+001	1.34282520e+001	1.34282520e+001	1.76794448e+001	1.76794448e+001	-7.53982563e+001	4.08448787e+001	-3.19155121e+002	2.65729740e+000	2.65729740e+000
5.38000000e-001	-5.71113514e+001	3.65813063e+001	3.65813063e+001	-2.75842650e+001	-2.75842650e+001	-5.64325790e+001	5.64408259e+001	-3.03559174e+002	-1.58642957e+001	-1.58642957e+001
5.39000000e-001	-5.92996414e+001	6.45783198e+000	6.45783198e+000	-2.75842954e+001	-2.75842954e+001	-6.56286499e+001	8.91962806e+001	-2.70803719e+002	-2.79329818e+000	-2.79329818e+000
5.40000000e-001	-6.11305453e+001	7.45157334e+001	7.45157334e+001	-1.78366042e+000	-1.78366042e+000	-7.12183148e+001	-6.92235268e+001	-2.49223527e+002	-5.96304030e+000	-5.96304030e+000
5.41000000e-001	-5.51519035e+001	-3.94608136e+001	-3.94608136e+001	3.63172334e+001	3.63172334e+001	-6.33852429e+001	6.34886216e+001	-2.96511378e+002	4.43847233e+000	4.43847233e+000
5.42000000e-001	-5.79326259e+001	8.67824326e+001	8.67824326e+001	-8.60193306e+000	-8.60193306e+000	-5.96474190e+001	-2.52331136e+001	-3.85233114e+002	-2.06976786e+001	-2.06976786e+001
5.43000000e-001	-7.05576155e+001	-6.88915554e+001	1.11108445e+002	-2.22830761e+000	-2.22830761e+000	-6.15406685e+001	-6.88604540e+001	-4.28860454e+002	7.66280261e+000	7.66280261e+000
5.44000000e-001	-5.92790546e+001	5.34297883e+001	2.33429788e+002	-1.46636419e+001	-1.46636419e+001	-6.49840602e+001	6.59434819e+001	-4.74056518e+002	-5.36741211e+000	-5.36741211e+000
5.45000000e-001	-6.23616896e+001	8.28134345e+001	2.62813435e+002	5.03935186e+000	5.03935186e+000	-5.69042942e+001	-3.37856360e+001	-5.73785636e+002	3.97036555e+001	3.97036555e+001
5.46000000e-001	-6.19120898e+001	1.71743823e+001	1.97174382e+002	1.66571834e+001	1.66571834e+001	-5.72700844e+001	7.96059587e+000	-5.32039404e+002	2.98340016e+001	2.98340016e+001
5.47000000e-001	-6.39422938e+001	-4.26879292e+001	1.37312071e+002	-1.43459486e+001	-1.43459486e+001	-6.63080405e+001	3.66129687e+001	-5.03387031e+002	-1.09277819e+001	-1.09277819e+001
5.48000000e-001	-5.93963119e+001	-1.64193172e+001	1.63580683e+002	-2.09523534e+001	-2.09523534e+001	-8.49117270e+001	1.46408667e+001	-5.25359133e+002	-1.14657262e+000	-1.14657262e+000
5.49000000e-001	-5.71061544e+001	-6.39585807e+001	1.16041419e+002	1.70456646e+001	1.70456646e+001	-6.09595815e+001	3.05327888e+000	-5.36946721e+002	-2.25865011e+001	-2.25865011e+001
5.50000000e-001	-5.66814899e+001	2.44813672e+001	2.04481367e+002	3.24617886e+001	3.24617886e+001	-6.47370580e+001	7.89340183e+001	-4.61065982e+002	4.40882684e+000	4.40882684e+000
5.51000000e-001	-6.22754918e+001	6.87968098e+001	2.48796810e+002	-2.89731080e+000	-2.89731080e+000	-6.23842361e+001	7.10760341e+001	-4.68923966e+002	-3.94635317e+000	-3.94635317e+000
5.52000000e-001	-6.56042760e+001	8.60366681e+001	2.66036668e+002	2.20505276e+000	2.20505276e+000	-6.66099778e+001	3.12498702e+001	-5.08750130e+002	6.18620495e+000	6.18620495e+000
5.53000000e-001	-5.48983183e+001	6.56968498e+001	2.45696850e+002	-4.03212170e+000	-4.03212170e+000	-5.97488621e+001	-8.10008057e+001	-6.21000806e+002	-1.04115173e+000	-1.04115173e+000
5.54000000e-001	-6.80253359e+001	-6.39375549e+001	1.16062445e+002	-6.73760230e+000	-6.73760230e+000	-6.32170296e+001	2.17623734e+000	-5.37823763e+002	2.17776517e+001	2.17776517e+001
5.55000000e-001	-6.23380900e+001	-6.11202110e+001	1.18879789e+002	-1.82533708e+001	-1.82533708e+001	-5.88907215e+001	-1.94053291e+001	-5.59405329e+002	-3.05683831e+001	-3.05683831e+001
5.56000000e-001	-7.05076325e+001	-6.11087076e+001	1.18891292e+002	6.10400398e+000	6.10400398e+000	-6.53809297e+001	6.36701969e+001	-4.76329803e+002	-4.36755357e+000	-4.36755357e+000
5.57000000e-001	-5.72067404e+001	-4.29974086e+001	1.37002591e+002	2.65985764e+001	2.65985764e+001	-5.60709339e+001	-6.52033105e+001	-6.05203310e+002	1.55637854e+001	1.55637854e+001
5.58000000e-001	-6.21568196e+001	3.72951559e+001	2.17295156e+002	1.60919408e+001	1.60919408e+001	-5.52373897e+001	2.11752432e+001	-5.18824757e+002	-2.88647859e+001	-2.88647859e+001
5.59000000e-001	-7.52602125e+001	6.92368577e+001	2.49236858e+002	8.77328395e-001	8.77328395e-001	-5.72628472e+001	-8.20189129e+001	-6.22018913e+002	9.94272689e+000	9.94272689e+000
5.60000000e-001	-5.71181966e+001	4.03497974e+001	2.20349797e+002	-2.86437012e+001	-2.86437012e+001	-5.72305658e+001	-8.89551696e+001	-6.28955170e+002	-1.52417530e+001	-1.52417530e+001
5.61000000e-001	-6.35537046e+001	-7.95847744e+001	1.00415226e+002	-7.30025643e+000	-7.30025643e+000	-6.45218303e+001	-6.55797629e+001	-6.05579763e+002	-6.08028258e+000	-6.08028258e+000
5.62000000e-001	-7.30407291e+001	-8.42196140e+001	9.57803860e+001	3.97157336e-001	3.97157336e-001	-6.02592698e+001	6.70522324e+001	-6.52947768e+002	3.47820742e+000	3.47820742e+000
5.63000000e-001	-6.77784116e+001	-1.34510500e+001	1.66548950e+002	-1.56271692e+001	-1.56271692e+001	-5.71568890e+001	7.09964090e+001	-6.49003591e+002	-1.06007576e+001	-1.06007576e+001
5.64000000e-001	-5.78917767e+001	2.01450592e+001	2.00145059e+002	-2.71194761e+001	-2.71194761e+001	-6.40362160e+001	8.19591882e+001	-6.38040812e+002	1.35896428e+000	1.35896428e+000
5.65000000e-001	-5.77514287e+001	8.29344281e+001	2.62934428e+002	8.96738052e-001	8.96738052e-001	-5.64784525e+001	-2.49482108e+001	-7.44948211e+002	4.39441044e+001	4.39441044e+001
5.66000000e-001	-5.79446240e+001	-4.48314875e+000	1.75516851e+002	-4.46888224e+001	-4.46888224e+001	-5.56994562e+001	-2.90656126e+000	-7.22906561e+002	3.55906885e+001	3.55906885e+001
5.67000000e-001	-5.83401488e+001	-8.73002049e+001	9.26997951e+001	8.59116014e+000	8.59116014e+000	-6.33493862e+001	-3.96773689e+001	-7.59677369e+002	-1.32494008e+001	-1.32494008e+001
5.68000000e-001	-6.85877105e+001	-3.58777891e+001	1.44122211e+002	-5.81054131e+000	-5.81054131e+000	-5.90073439e+001	3.69755464e+000	-7.16302445e+002	-3.34114878e+001	-3.34114878e+001
5.69000000e-001	-5.85350273e+001	6.16479429e+001	2.41647943e+002	4.32864021e+000	4.32864021e+000	-5.24921345e+001	-1.61378004e+001	-7.36137800e+002	-5.37006219e+001	-5.37006219e+001
5.70000000e-001	-5.60901492e+001	-1.66633923e+001	1.63336608e+002	4.08626221e+001	4.08626221e+001	-5.23342259e+001	2.97075013e+001	-6.90292499e+002	-3.85382255e+001	-3.85382255e+001
5.71000000e-001	-8.15243109e+001	-4.72664507e+001	1.32733549e+002	2.20271229e+000	2.20271229e+000	-5.45861462e+001	2.51368348e+001	-6.94863165e+002	2.81539095e+001	2.81539095e+001
5.72000000e-001	-6.26012130e+001	-8.58729405e+001	9.41270595e+001	8.49144393e+000	8.49144393e+000	-6.15034060e+001	-7.88004532e+001	-7.98800453e+002	7.50410334e+000	7.50410334e+000
5.73000000e-001	-6.55230442e+001	-8.21279877e+001	9.78720123e+001	-2.62002465e+000	-2.62002465e+000	-7.88850681e+001	7.20845472e+001	-8.27915453e+002	5.89158892e-001	5.89158892e-001
5.74000000e-001	-6.48796607e+001	-1.56997042e+001	1.64300296e+002	1.90590872e+001	1.90590872e+001	-5.62922730e+001	6.48528946e+001	-8.35147105e+002	-4.11518267e+000	-4.11518267e+000
5.75000000e-001	-5.94667429e+001	7.64146775e+001	2.56414678e+002	8.08693551e+000	8.08693551e+000	-6.83460675e+001	-2.65276700e+001	-9.26527670e+002	9.62137631e+000	9.62137631e+000
5.76000000e-001	-6.15001680e+001	7.76201178e+000	1.87762012e+002	2.21014459e+001	2.21014459e+001	-6.88605026e+001	-7.41698071e+001	-9.74169807e+002	2.58822959e+000	2.58822959e+000
5.77000000e-001	-6.16581633e+001	-8.05601330e+001	9.94398670e+001	4.08418428e+000	4.08418428e+000	-6.58017280e+001	-3.77982560e+001	-9.37798256e+002	-7.62696293e+000	-7.62696293e+000
5.78000000e-001	-6.01805607e+001	-4.78473245e+001	1.32152675e+002	-1.87490508e+001	-1.87490508e+001	-6.14518959e+001	-1.20408296e+001	-9.12040830e+002	-1.89050602e+001	-1.89050602e+001
5.79000000e-001	-6.04643193e+001	-7.57354254e+001	1.04264575e+002	6.83345307e+000	6.83345307e+000	-6.35500243e+001	1.51792690e+001	-8.84820731e+002	-1.63364999e+001	-1.63364999e+001
5.80000000e-001	-6.01251470e+001	-6.22334657e+001	1.17766534e+002	-8.92883785e+000	-8.92883785e+000	-6.13342564e+001	-1.15454040e+001	-9.11545404e+002	-1.74386741e+001	-1.74386741e+001
